Bedrijfsnaam,Producten,Sector,Aantal trucks gestationeerd op terrein,Movements van trucks,uitbesteding van trucks,Aantal bestelbussen gestationeerd op terrein,Aantal elektrische voertuigen,Aantal personen auto's,Gemiddeld gewicht vrachtwagens,Internationaal/Binnenlands,Aantal parkeerplekken,Aantal bezette parkeerplekken ,Aantal laad/losplekken,Aantal bezette laad/losplekken,Adres,Lat,LNG,Opmerking,
Sligro Amsterdam  ,Groothandel in levensmiddelen,Vervoer en opslag / groothandel,,,,,,,,,,,,,"Scharenburg 5, 1046BA Amsterdam, Nederland",,,,
Jansen Houtimport B.V.,Groothandel in hout,Groothandel,,,,,,,,,,,,,"Scharenburg 2, 1046BB Amsterdam, Nederland",,,,
Wentzel B.V.,Non-ferro metalen,Groothandel,,,,,,,,,,,,,"Scharenburg 2, 1046BB Amsterdam, Nederland",,,,
CWS Hygiene Amsterdam,Hygiene producten B2B,Overige dienstverlening,,,,,,,,,,,,,"Scharenburg 6, 1046BB Amsterdam, Nederland",,,,
Apollo Verhuizingen,Verhuizingen en opslag,Vervoer en opslag,,,,,,,,,,,,,"Scharenburg 8, 1046BB Amsterdam, Nederland",,,,
Bilal Chicken Centre B.V.,Voedselfabrikant,Groothandel,,,,,,,,,,,,,"Scharenburg 10, 1046BB Amsterdam, Nederland",,,,
Swapfiets Amsterdam,Fietsmagazijn,,,,,,,,,,,,,,"Scharenburg 5, 1046BA Amsterdam, Nederland",,,,
Nipparts,Automaterialen winkel,Vervoer en opslag,,,,,,,,,,,,,"Scharenburg 14, 1046BB Amsterdam, Nederland",,,,
Ap logistics,Logistieke diensverlening,Vervoer en opslag,,,,,,,,,,,,,"Scharenburg 14, 1046BB Amsterdam, Nederland",,,,
Amsterdam Warehouse Company / Amsterdam Freight company,Logistieke diensverlening,Vervoer en opslag,,,,,,,,,,,,,"Slego 1a, 1046BM Amsterdam, Nederland",,,,
Peeters global logistics,Logistieke diensverlening,Vervoer en opslag,,,,,,,,,,,,,"Gyroscoopweg 4, 1042AB Amsterdam, Nederland",,,,
Social Database,Mediabedrijf,,,,,,,,,,,,,,"Slego 1a, 1046 BM Amsterdam, Nederland",,,,
AES International,Logistieke dienstverlening,,,,,,,,,,,,,,"Slego 1a, 1046 BM Amsterdam, Nederland",,,,
Advion,,Groothandel,,,,,,,,,,,,,"Slego 1, 1046 BM Amsterdam, Nederland",,,,
Decorum Kantoormeubelen,Meubelverhuur bedrijf,Groothandel,,,,,,,,,,,,,"Herwijk 12, 1046 BC Amsterdam, Nederland",,,,
Desko kantoormeubelen,Meubelbedrijf,Groothandel,,,,,,,,,,,,,"Latexweg 1, 1047 BJ Amsterdam, Nederland",,,,
Race planet Amsterdam,Evenementen en indoor speeltuin,,,,,,,,,,,,,,"Herwijk 10, 1046 BC Amsterdam, Nederland",,,,
Brocacef,Farmaceutische groothandel,Groothandel,,,,,,,,,,,,,"Maroastraat 43, 1060 LG Amsterdam, Nederland",,,,
Anker Amsterdam Spirits,Dranken groothandel,Groothandel,,,,,,,,,,,,,"Slego 2, 1046 BM Amsterdam, Nederland",,,,
Scania Amsterdam,Vrachtwagen dealer,Groothandel,,,,,,,,,,,,,"Slego 4, 1046 BM Amsterdam, Nederland",,,,
PostNL Crossdock Amsterdam,Post- en pakket bezorging ,Vervoer en opslag ,,,,,,,,,,,,,"Bornhout 5, 1046 PP Amsterdam, Nederland",,,,
PostNL SCB Amsterdam,Post- en pakket bezorging ,Vervoer en opslag,,,,,,,,,,,,,"Australiëhavenweg 100, 1046 BP Amsterdam, Nederland",,,,
Euromaster Amsterdam,Vrachtwagen reparatie,Groothandel,,,,,,,,,,,,,"Bornhout 11, 1046 BE Amsterdam , Nederland",,,,
Dronk bedrijswagen onderdelen,Bedrijfswagen reparatie,Groothandel,,,,,,,,,,,,,"Bornhout 13, 1046 BE Amsterdam, Nederland",,,,
Skynet Worldwide Express,Logistieke dienstverlening,Vervoer en opslag,,,,,,,,,,,,,"Bornhout 15, 1046 BE Amsterdam, Nederland",,,,
Fietsendepot Gemeente Amsterdam,Opslagbedrijf fietsen,Vervoer en opslag,,,,,,,,,,,,,"Bornhout 8, 1046 BE Amsterdam, Nederland",,,,
Anamet Europe,Fabrikant leidingmateriaal,Industrie en nutsbedrijven,,,,,,,,,,,,,"Galwin 5, 1046 AW Amsterdam, Nederland",,,,
Gezamelijke brandweer Amsterdam,Brandweer,Openbaar bestuur,,,,,,,,,,,,,"Galwin 3, 1046 AW Amsterdam, Nederland",,,,
Huishoff projectverhuizingen,Verhuizingen en opslag,Vervoer en opslag,,,,,,,,,,,,,"Galwin 1, 1046 AW Amsterdam, Nederland",,,,
Shell tankstation,Brandstoffen,Detailhandel,,,,,,,,,,,,,"Galwin 6, 1046 AW Amsterdam, Nederland",,,,
Truckwash 1 Amsterdam,Vrachtauto wasstraat,Vervoer en opslag,,,,,,,,,,,,,"Galwin 4, 1046 AW Amsterdam, Nederland",,,,
IGT Europe gaming,Assemblage speelautomaten,Industrie en nutsbedrijven,,,,,,,,,,,,,"Galwin 2, 1046 AW Amsterdam, Nederland",,,,
