Bedrijfsnaam,Producten,Sector,Aantal trucks gestationeerd op terrein,Movements van trucks,uitbesteding van trucks,Aantal bestelbussen gestationeerd op terrein,Aantal elektrische voertuigen,Aantal personen auto's,Gemiddeld gewicht vrachtwagens,Internationaal/Binnenlands,Aantal parkeerplekken,Aantal bezette parkeerplekken ,Aantal laad/losplekken,Aantal bezette laad/losplekken,Adres,Lat,LNG,Opmerking,
4 Fruit Company,"Fruit, groente",Handel,0,25,10,0,1,18,30000,Internationaal,23,13,10,7,"Handelsweg 30, 2988 DB ridderkerk, nederland",51.862219,4.585057,,
A.F.L. Barendrecht,"Fruit, groente","Transport, logistiek",22,55,0,1,1,24,30000,Internationaal,30,,,,"Oosteinde 5, 2991 LG barendrecht, nederland",51.861792,4.553497,,
Agrofair Benelux,Fruit,Detailhandel (D2C),0,13,5,0,1,20,30000,Internationaal,23,19,5,5,"Koopliedenweg 10, 2991 LN barendrecht, nederland",51.865375,4.554785,,
Allround Cargo Handling,,Logistiek,0,73,29,2,22,119,38000,Internationaal,149,20,29,6,"Selderijweg 80, 2988 DG, ridderkerk, nederland",51.860678,4.569325,,
Ambtman jr. Import Export B.V.,Food,Handel,0,5,2,0,1,5,30000,Internationaal,4,3,2,0,"Oosteinde 15, 2991 LG barendrecht, nederland",51.861404,4.553668,,
Bakker Barendrecht,"Fruit, groente","Handel, logistiek",160,128,0,0,11,282,30000,Internationaal,352,240,51,32,"Handelsweg 20, 2988 DB ridderkerk, nederland",51.860154,4.569893,,
Berkman Groep,"Brandstoffen, tankstations",Energie,10,25,0,0,1,30,34000,Binnenlands,36,,,,"Tuindersweg 36, 2991 LR barendrecht, nederland",51.861674,4.556497,,
Best trucks,Vrachtwagens,Automotive,0,0,0,1,1,27,0,Binnenlands,34,6,0,0,"Donk 4, 2991 LE barendrecht, nederland",51.86267117,4.551342098,,
Blankendaal Cold Stores B.V.,Koel/vriesopslag,Logistiek,0,25,10,0,2,5,30000,Internationaal,35,23,10,5,"Handelsweg 50, 2988 DB ridderkerk, nederland",51.8609276,4.56141703,volledig automatisch vestiging,
Broom Frio Holding,Fruit,"Handel, Logistiek",2,28,11,1,1,32,30000,Internationaal,40,29,11,6,"Handelsweg 40, 2988 DB ridderkerk, nederland",51.8609276,4.56141703,,
CMR Holland B.V.,"Fruit, groente","Handel, logistiek",0,53,21,0,0,2,30000,Internationaal,66,18,21,10,"Peterselieweg 112, 2988 DH ridderkerk, nederland",51.861045,4.569052,,
Consistence,,Onderzoek/Advies,0,0,0,1,2,48,0,Internationaal,60,6,0,0,"Fennaweg 53, 2991 ZA barendrecht, nederland",51.86567654,4.539055401,,
Davis Global B.V.,Voedsel,"Handel, logistiek, verwerking",0,5,2,1,0,7,30000,Internationaal,9,8,2,0,"Handelsweg 200, 2988 DC ridderkerk, nederland",51.85917042,4.56192303,neemt niet op,
Davis Pure Foods B.V.,Voedsel,"Verwerking, logistiek",0,10,4,1,3,20,30000,Binnenlands,25,,,,"Handelsweg 200, 2988 DC ridderkerk, nederland",51.85917042,4.56192303,neemt niet op,
Dijco,,Vervoer,50,20,0,1,3,82,0,Internationaal,103,64,8,2,"Koopliedenweg 2, 2991 LN barendrecht, nederland",51.85637944,4.559407682,terug bellen vandaag,
Europe Retail Packing,"Handel, verpakking, value-added logistics (VAL)","Handel, logistiek",,78,,1,7,164,0,Internationaal,205,102,31,26,"Selderijweg 90, 2988 DG, ridderkerk, nederland",51.8605,4.569903,morgen terug bellen indien nodig,
Fortuna Frutos,"Groenten, fruit, import (groothandel); VAL.","Handel, logistiek",0,55,22,0,2,42,30000,Internationaal,53,25,22,10,"Peterselieweg 112, 2988 DH ridderkerk, nederland",51.861045,4.569052,,
Four Seasons Fruit Supply B.V.,Fruit,"Handel, logistiek, transport",,15,6,1,1,23,30000,Internationaal,29,22,6,4,"Gebroken Meeldijk 52, 2991 VD barendrecht, nederland",51.85456968,4.557407212,,
Fresh Pack Logistics,Fruit,"Logistiek, transport",,65,26,1,2,50,30000,Internationaal,62,46,26,7,"Handelscentrum ZHZ 55, 2991 LD barendrecht, nederland",51.8590352,4.553874168,,
Fresh Pride,Fruit,Handel,,0,0,1,2,48,30000,Internationaal,60,,,,"Handelscentrum ZHZ 55, 2991 LD barendrecht, nederland",51.8590352,4.553874168,,
